tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf
251,15,0.5,D,1,NA,NA,NA,NA,5/4/22,NA,74,NA,NA,0
252,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,93,NA,NA,0
253,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,NA,NA,0
254,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,87,NA,NA,0
255,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,96,NA,NA,0
256,15,0.5,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA
257,15,0.5,D,1,NA,NA,NA,NA,5/21/22,NA,85,NA,NA,1
258,15,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,64,NA,NA,0
259,15,0.5,D,1,NA,NA,NA,1,NA,4/20/22,NA,NA,NA,NA
260,15,0.5,D,1,NA,NA,NA,NA,4/14/22,NA,40,NA,NA,NA
261,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,92,NA,NA,0
262,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,91,NA,NA,0
263,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,NA,NA,0
264,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,97,NA,NA,0
265,15,0.5,D,1,NA,NA,NA,NA,4/15/22,NA,46,NA,NA,NA
266,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,NA,NA,0
267,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,NA,NA,0
268,15,0.5,D,1,NA,1,NA,NA,NA,5/18/22,96,NA,NA,0
269,15,0.5,D,1,1,1,NA,NA,NA,5/1/22,56,NA,NA,0
270,15,0.5,D,1,NA,NA,NA,1,NA,4/13/22,NA,NA,NA,NA
271,15,1,D,0,NA,1,NA,NA,NA,5/23/22,86,NA,NA,0
272,15,1,D,0,NA,1,NA,NA,NA,5/23/22,85,NA,NA,0
273,15,1,D,0,NA,1,NA,NA,NA,5/23/22,89,NA,NA,0
274,15,1,D,0,NA,1,NA,NA,NA,5/23/22,90,NA,NA,0
275,15,1,D,0,NA,NA,1,NA,NA,5/11/22,88,NA,NA,0
